"","WBAN","COUNTRY","STATE","LOCATION","VECTOR","NAME","LATITUDE","LONGITUDE","ELEVATION","STATUS","COMMISSIONING","OPERATION","PAIRING","NETWORK","X","Lat","Lon","Name"
"1","03047","US","TX","Monahans","6 ENE","Sandhills State Park",31.62,-102.8,"2724","Commissioned","2004-01-12 12:00 AM","Operational",NA,"USCRN",NA,31.6219,-102.8071,"Monahans_6_ENE"
"2","03048","US","NM","Socorro","20 N","Sevilleta National Wildlife Refuge (LTER Site)",34.35,-106.88,"4847","Commissioned","2004-01-12 12:00 AM","Operational",NA,"USCRN",NA,34.3557,-106.8859,"Socorro_20_N"
"3","03054","US","TX","Muleshoe","19 S","Muleshoe National Wildlife Refuge (Headquarters Site)",33.95,-102.77,"3742","Commissioned","2004-04-23 12:00 AM","Operational",NA,"USCRN",NA,33.9557,-102.774,"Muleshoe_19_S"
"4","03055","US","OK","Goodwell","2 E","OK  Panhandle Research & Extn. Center (Native Grassland Site)",36.59,-101.59,"3266","Commissioned","2004-04-23 12:00 AM","Operational",NA,"USCRN",NA,36.5993,-101.595,"Goodwell_2_E"
"5","03060","US","CO","Montrose","11 ENE","Black Canyon of the Gunnison National Park (Vernal Mesa)",38.54,-107.69,"8402","Commissioned","2004-09-08 12:00 AM","Operational",NA,"USCRN",NA,38.544,-107.6928,"Montrose_11_ENE"
"6","03061","US","CO","Cortez","8 SE","Mesa Verde National Park (Far View Site)",37.25,-108.5,"8034","Commissioned","2006-01-06 12:00 AM","Operational",NA,"USCRN",NA,37.2553,-108.5035,"Cortez_8_SE"
"7","03062","US","NM","Los Alamos","13 W","Valles Caldera National Preserve (Valle Grande Site)",35.85,-106.52,"8716","Commissioned","2005-02-11 12:00 AM","Operational",NA,"USCRN",NA,35.8584,-106.5214,"Los_Alamos_13_W"
"8","03063","US","CO","La Junta","17 WSW","USDA Comanche National Grassland",37.86,-103.82,"4386","Commissioned","2004-09-08 12:00 AM","Operational",NA,"USCRN",NA,37.8639,-103.8224,"La_Junta_17_WSW"
"9","03067","US","KS","Oakley","19 SSW","The Nature Conservancy Kansas (Smoky Valley Ranch)",38.87,-100.96,"2870","Commissioned","2006-01-06 12:00 AM","Operational",NA,"USCRN",NA,38.8701,-100.9627,"Oakley_19_SSW"
"10","03072","US","TX","Bronte","11 NNE","Ft. Chadbourne Foundation, (Foundation Entrance Site)",32.04,-100.24,"1997","Commissioned","2007-02-23 12:00 AM","Operational",NA,"USCRN",NA,32.0408,-100.2495,"Bronte_11_NNE"
